method,overall_accuracy,overall_f1,overall_auroc,agree_accuracy,agree_f1,disagree_accuracy,disagree_f1,disagree_auroc
Standard Fusion,0.8881366860090264,0.8864157119476268,0.9555703543521972,0.9188111634650236,0.9159159159159159,0.641399416909621,0.6854219948849105,0.7191629955947136
Disagree-Aware (w=3),0.8797549967762733,0.8802568218298555,0.9498649194109914,0.9068503080826387,0.9051310446659284,0.6618075801749271,0.7142857142857143,0.732986480328118
Disagree-Aware (w=5),0.8733075435203095,0.8745611235237791,0.9436552445729778,0.8981515041681769,0.8967291436971702,0.673469387755102,0.7281553398058253,0.7388728543217378
Selective Abstention (gap>0.10),0.680528691166989,0.6802194256211681,0.8579876712721686,0.6879304095686843,0.6809929603556872,0.6209912536443148,0.675,0.7192769254139448
Selective Abstention (gap>0.15),0.68214055448098,0.6813186813186813,0.8591025693787125,0.689017760057992,0.6817507418397626,0.6268221574344023,0.678391959798995,0.7229606562357587
Selective Abstention (gap>0.20),0.6814958091553837,0.6808785529715762,0.8594160045660109,0.6875679594055817,0.68026706231454,0.6326530612244898,0.685,0.7259608081421844
Selective Abstention (gap>0.30),0.6943907156673114,0.6924075275794939,0.8671982593954691,0.6998912649510692,0.691044776119403,0.6501457725947521,0.7014925373134329,0.735872702415312
