model,group,n,ece,mean_confidence
text_only,agreement,2759,0.05167697864967452,0.8578509698522522
metadata_only,agreement,2759,0.03477390348133552,0.7142285704612732
multimodal,agreement,2759,0.016990201343181712,0.9200195670127869
text_only,disagreement,343,0.219665314427462,0.7575690578989066
metadata_only,disagreement,343,0.15883680746915044,0.70494145154953
multimodal,disagreement,343,0.2185461916811439,0.8436610102653503
