model,feature_set,includes_product_average_rating,accuracy,f1,auroc,ece,brier,disagreement_acc
metadata_only,leakage_controlled,False,0.5658113962012662,0.543927196359818,0.5998689762380636,0.049741277006299295,0.245254248380661,0.5
metadata_only,full,True,0.6871042985671443,0.6889698575687314,0.7551374639129469,0.028170321766077297,0.20075879991054535,0.6304347826086957
multimodal,leakage_controlled,False,0.8763745418193936,0.87571189279732,0.9474981123695314,0.026186276116755662,0.08998909592628479,0.6494565217391305
multimodal,full,True,0.8780406531156282,0.8786472148541115,0.9526546746613368,0.06239974150426068,0.0932571217417717,0.6603260869565217
