model,accuracy,f1,auroc,ece,brier,agreement_acc,disagreement_acc,strong_disagreement_acc,agreement_ece,disagreement_ece,calibration_gap,high_conf_error_rate,n_high_conf,conf_correct,conf_incorrect,n_agreement,n_disagreement,n_strong_disagreement,n_test,modality_dominance_text_pct,n_true_conflict
text_only,0.8727090969676774,0.8721552878179384,0.943477903619809,0.027713471984754594,0.09337323805183823,0.905051272312951,0.6413043478260869,0.596551724137931,0.048116483725113214,0.16813319766065754,0.12001671393554433,0.027080581241743725,1514,0.8721277362654808,0.6986605702591783,2633,368,290,3001,100.0,1325
metadata_only_lc,0.5658113962012662,0.543927196359818,0.5998689762380636,0.049741277006299295,0.245254248380661,0.5750094948727688,0.5,0.47586206896551725,0.045604641986830445,0.13633523903706146,0.09073059705023101,0.17857142857142858,28,0.6259700059890747,0.6019774079322815,2633,368,290,3001,0.0,1325
multimodal_lc,0.8763745418193936,0.87571189279732,0.9474981123695314,0.026186276116755662,0.08998909592628479,0.9080896315989365,0.6494565217391305,0.6172413793103448,0.019671067512713348,0.1895788878749084,0.16990782036219504,0.04296875,2048,0.9181596040725708,0.7536320686340332,2633,368,290,3001,92.75471698113208,1325
disagreement_aware_lc,0.8617127624125291,0.8624461385482267,0.9356744392627138,0.0721389711578462,0.10782921314239502,0.8894796809722749,0.6630434782608695,0.6344827586206897,0.052665381675725445,0.24173979193944,0.18907441026371458,0.07715008431703205,2372,0.950965404510498,0.8272111415863037,2633,368,290,3001,88.37735849056604,1325
