model,group,temperature,ece_before,ece_after,ece_improvement,n
text_only,overall,0.6619609750813916,0.027894342280782393,0.03366974406525659,-0.0057754017844742,3102
text_only,agreement,0.6619609750813916,0.05167697864967452,0.02422435147528529,0.027452627174389233,2759
text_only,disagreement,0.6619609750813916,0.219665314427462,0.25270160550261817,-0.033036291075156154,343
metadata_only,overall,1.310557854025171,0.03500128862628777,0.01001563556871181,0.02498565305757596,3102
metadata_only,agreement,1.310557854025171,0.03477390348133552,0.023539190744295235,0.011234712737040287,2759
metadata_only,disagreement,1.310557854025171,0.15883680746915044,0.1511857581926584,0.007651049276492045,343
multimodal,overall,1.1533540674392873,0.02343966700388855,0.013312752904983684,0.010126914098904866,3102
multimodal,agreement,1.1533540674392873,0.016990201343181712,0.02403524319237195,-0.007045041849190237,2759
multimodal,disagreement,1.1533540674392873,0.2185461916811439,0.2154352946768825,0.003110897004261398,343
