error_type,count,mean_confidence,pct_high_conf,pct_disagreement,percentage
other,92,0.75573665,27.173913043478258,35.869565217391305,46.0
mixed_sentiment,45,0.724005,15.555555555555555,28.888888888888886,22.5
sarcasm_irony,23,0.74892974,21.73913043478261,47.82608695652174,11.5
short_review,17,0.77102536,23.52941176470588,52.94117647058824,8.5
rating_misuse,7,0.701995,14.285714285714285,0.0,3.5
conditional_sentiment,7,0.8305909,42.857142857142854,57.14285714285714,3.5
topic_drift,4,0.65625936,0.0,25.0,2.0
comparative,3,0.8898787,66.66666666666666,100.0,1.5
ambiguous,2,0.85739446,50.0,100.0,1.0
