method,overall_acc_mean,overall_acc_std,disagree_acc_mean,disagree_acc_std,strong_disagree_acc_mean,strong_disagree_acc_std,overall_f1_mean,overall_f1_std,overall_auroc_mean,overall_auroc_std,overall_ece_mean,overall_ece_std,n_seeds,data_split
DA (w=5),0.8744,0.0007,0.79,0.0152,0.7727,0.0133,0.8757,0.001,0.9459,0.0003,0.0689,0.0046,3,Appliances (materialized); training-only variance
Standard,0.885,0.0016,0.7757,0.0162,0.7519,0.0211,0.8853,0.0021,0.9529,0.0009,0.0663,0.0022,3,Appliances (materialized); training-only variance
