category,n_total,n_test,disagreement_rate,text_only_accuracy,text_only_f1,text_only_auroc,metadata_only_accuracy,metadata_only_f1,metadata_only_auroc,multimodal_accuracy,multimodal_f1,multimodal_auroc,text_only_disagree_acc,text_only_disagree_f1,metadata_only_disagree_acc,metadata_only_disagree_f1,multimodal_disagree_acc,multimodal_disagree_f1,text_dominance_pct,error
All_Beauty,20674.0,3102.0,0.11057382333978079,0.867504835589942,0.8660801564027371,0.9427039230529087,0.6785944551901999,0.6795242687238829,0.7488201493098814,0.8881366860090264,0.8864157119476268,0.9555703543521972,0.5918367346938775,0.6482412060301508,0.6151603498542274,0.67,0.641399416909621,0.6854219948849105,0.8224043715846995,
Digital_Music,7006.0,1051.0,0.10180780209324453,0.8867745004757374,0.885024154589372,0.9533586818757921,0.8049476688867745,0.8015488867376573,0.898305268875611,0.9314938154138915,0.9315589353612167,0.9787289516567084,0.5607476635514018,0.5436893203883495,0.7383177570093458,0.7407407407407407,0.6915887850467289,0.6915887850467289,0.6828358208955224,
Video_Games,,,,,,,,,,,,,,,,,,,,"(""Could not convert 'from 14.99' with type str: tried to convert to double"", 'Conversion failed for column price with type object')"
Appliances,15624.0,2344.0,0.1591296928327645,0.8698805460750854,0.8671023965141612,0.9395239024333423,0.7107508532423208,0.7070008643042351,0.7766609104357651,0.8899317406143344,0.887434554973822,0.9567328972964158,0.6809651474530831,0.7724665391969407,0.6327077747989276,0.7360308285163777,0.7453083109919572,0.8217636022514071,0.7922769640479361,
