model,accuracy,precision,recall,f1,auroc,brier_score
text_only,0.8999855051456733,0.9036395147313692,0.974943904263276,0.937938478143551,0.9492339007767324,0.07351736484756949
metadata_only,0.8067835918249021,0.8206356812010861,0.9607329842931938,0.8851752950297184,0.7697295324704259,0.14090049266815186
multimodal,0.9146253080156544,0.9458497283117856,0.943904263275991,0.9448759943846514,0.9582614203590031,0.06329028308391571
