accuracy,f1,auroc,ece,brier,agreement_acc,disagreement_acc,strong_disagreement_acc,agreement_ece,disagreement_ece,calibration_gap,high_conf_error_rate,n_high_conf,conf_correct,conf_incorrect,n_agreement,n_disagreement,n_strong_disagreement,n_test,modality_dominance_text_pct,n_true_conflict,category,seed,model,conflict_auc,mean_gate
0.8763745418193936,0.87571189279732,0.9474981123695314,0.026186276116755662,0.08998909592628479,0.9080896315989365,0.6494565217391305,0.6172413793103448,0.019671067512713348,0.1895788878749084,0.16990782036219504,0.04296875,2048,0.9181596,0.75363207,2633,368,290,3001,92.75471698113208,1325,All_Beauty,42,early_fusion_lc,,
0.8773742085971343,0.8787878787878788,0.9496246946480122,0.02490888330533042,0.08915885537862778,0.9111279908849221,0.6358695652173914,0.5896551724137931,0.034636003675170585,0.18840527919161576,0.15376927551644518,0.03481822836661547,1953,0.9143332,0.7447933,2633,368,290,3001,93.43396226415095,1325,All_Beauty,42,gated_fusion_lc,,
0.8617127624125291,0.8624461385482267,0.9356744392627138,0.0721389711578462,0.10782921314239502,0.8894796809722749,0.6630434782608695,0.6344827586206897,0.052665381675725445,0.24173979193944,0.18907441026371458,0.07715008431703205,2372,0.9509654,0.82721114,2633,368,290,3001,88.37735849056604,1325,All_Beauty,42,disagree_aware_lc,,
0.8733755414861712,0.8754098360655738,0.9449380413057962,0.07015937313894277,0.10034159570932388,0.9080896315989365,0.625,0.5896551724137931,0.04437429394942249,0.28284480422735214,0.23847051027792965,0.07268993839835729,2435,0.9529868,0.8355,2633,368,290,3001,91.16981132075472,1325,All_Beauty,42,ugca_full,0.7162839132086065,0.9870082139968872
0.8700433188937021,0.8706896551724138,0.9467248500999333,0.05301864819538492,0.09577112644910812,0.9077098366881884,0.6005434782608695,0.5620689655172414,0.02984197092116262,0.26724156231174,0.2373995913905774,0.05758241758241758,2275,0.9424422,0.79331386,2633,368,290,3001,91.39622641509433,1325,All_Beauty,42,ugca_no_conflict,,0.9893603324890137
0.8777074308563813,0.8775442108775442,0.9473320008882965,0.058589181224407455,0.094816192984581,0.9130269654386631,0.625,0.5896551724137931,0.03076612023495919,0.25884824143925117,0.22808212120429197,0.06359832635983263,2390,0.9490564,0.82104653,2633,368,290,3001,90.79245283018868,1325,All_Beauty,42,ugca_no_entropy,0.7285395234399511,0.9926992058753967
0.8723758747084305,0.8699490662139219,0.9429180546302465,0.06713821843231732,0.09968891739845276,0.9077098366881884,0.6195652173913043,0.5793103448275863,0.040061599729555086,0.27749579255064216,0.23743419282108708,0.0678453947368421,2432,0.9551283,0.8327826,2633,368,290,3001,89.9622641509434,1325,All_Beauty,42,ugca_no_js,0.735011517693489,0.9381250143051147
0.8760413195601466,0.8763297872340425,0.9423648678658672,0.08506327996111758,0.10539592057466507,0.9141663501709077,0.6032608695652174,0.5655172413793104,0.0547110942230223,0.33035979468537413,0.27564870046235185,0.08859315589353613,2630,0.96977234,0.88344944,2633,368,290,3001,89.58490566037736,1325,All_Beauty,42,ugca_no_cal,0.7251347859112602,0.9783586263656616
0.8740419860046651,0.871864406779661,0.9422727070841661,0.07046988859005528,0.09945720434188843,0.9033232628398792,0.6543909348441926,0.6124031007751938,0.04616805666275434,0.26112985314416143,0.2149617964814071,0.07422347720855184,2479,0.95944697,0.8361259,2648,353,258,3001,88.32288401253919,1276,All_Beauty,123,early_fusion_lc,,
0.8817060979673442,0.879045996592845,0.9516433488785253,0.015430397605129336,0.08511187136173248,0.9104984894259819,0.6657223796033994,0.6356589147286822,0.013973587046284503,0.21082825502829242,0.1968546679820079,0.033182503770739065,1989,0.91599053,0.7367077,2648,353,258,3001,91.4576802507837,1276,All_Beauty,123,gated_fusion_lc,,
0.8677107630789737,0.8669125041904123,0.9382629358205642,0.06143687152288548,0.10247229039669037,0.8942598187311178,0.6685552407932012,0.6434108527131783,0.04667066281318126,0.24347786411706349,0.19680720130388224,0.07011543394613083,2339,0.9459945,0.81476367,2648,353,258,3001,89.0282131661442,1276,All_Beauty,123,disagree_aware_lc,,
0.8877040986337887,0.8867987907289218,0.9475740617366202,0.0643053413609273,0.09193176031112671,0.9161631419939577,0.6742209631728046,0.6434108527131783,0.044930106254359226,0.25533609026277876,0.21040598400841953,0.06682389937106918,2544,0.963532,0.85269153,2648,353,258,3001,89.0282131661442,1276,All_Beauty,123,ugca_full,0.7282865683010535,0.9810317158699036
0.8820393202265912,0.8807277628032345,0.9506333555407507,0.03914406537756407,0.08808420598506927,0.9101208459214502,0.6713881019830028,0.6356589147286822,0.022733016029630557,0.20625551147307286,0.1835224954434423,0.044614691302388466,2219,0.9365066,0.7856436,2648,353,258,3001,91.61442006269593,1276,All_Beauty,123,ugca_no_conflict,,0.9876812100410461
0.8873708763745418,0.8871075484301937,0.9511934266044859,0.023842136598117986,0.08564907312393188,0.9146525679758308,0.6827195467422096,0.6317829457364341,0.024047247923381657,0.1853968139748398,0.16134956605145817,0.03961352657004831,2070,0.92047864,0.76957494,2648,353,258,3001,92.94670846394985,1276,All_Beauty,123,ugca_no_entropy,0.7160463185642273,0.9889958500862122
0.8810396534488504,0.879838438236284,0.9509520319786808,0.06465166827532814,0.09286225587129593,0.9104984894259819,0.660056657223796,0.6395348837209303,0.0428560046251199,0.24546811645243732,0.20261211182731742,0.0648409182440596,2483,0.95973766,0.8321149,2648,353,258,3001,89.89028213166144,1276,All_Beauty,123,ugca_no_js,0.737173493491266,0.9807577133178711
0.8823725424858381,0.8828410222369731,0.9496140350877192,0.029329397351602348,0.08663814514875412,0.9070996978851964,0.6968838526912181,0.6550387596899225,0.026419363012030895,0.20600428946168498,0.17958492644965407,0.043498817966903074,2115,0.9244984,0.7608222,2648,353,258,3001,92.55485893416927,1276,All_Beauty,123,ugca_no_cal,0.7197200516932978,0.9870926737785339
0.882705764745085,0.8815612382234186,0.9483833000222075,0.04577177334471328,0.08978454768657684,0.9183903723204212,0.6052631578947368,0.5740740740740741,0.0267910612197176,0.2624237970149482,0.2356327357952306,0.05485961123110151,2315,0.9438823,0.8023725,2659,342,270,3001,90.64976228209191,1262,All_Beauty,456,early_fusion_lc,,
0.8873708763745418,0.8848773841961853,0.949282700421941,0.01757039425175255,0.08618459105491638,0.9221511846558856,0.6169590643274854,0.5925925925925926,0.022980464515200937,0.24668004786410522,0.22369958334890427,0.03779366700715015,1958,0.90933406,0.751838,2659,342,270,3001,94.5324881141046,1262,All_Beauty,456,gated_fusion_lc,,
0.8650449850049984,0.8648648648648649,0.9326435709526982,0.06684868877225421,0.10626678168773651,0.8928168484392629,0.6491228070175439,0.6333333333333333,0.045414192091369585,0.26948804403954774,0.22407385194817814,0.07741116751269035,2364,0.94639665,0.82209677,2659,342,270,3001,89.54041204437401,1262,All_Beauty,456,disagree_aware_lc,,
0.882705764745085,0.8805970149253731,0.9497117477237397,0.02202649438869793,0.08649688214063644,0.9172621286197818,0.6140350877192983,0.5925925925925926,0.01439081561541864,0.25412710433640673,0.2397362887209881,0.04454022988505747,2088,0.922712,0.7617951,2659,342,270,3001,91.9175911251981,1262,All_Beauty,456,ugca_full,0.7107583425154336,0.9743726253509521
0.8890369876707764,0.8862316364878715,0.9496402398401067,0.0240676110211272,0.08585784584283829,0.923279428356525,0.6228070175438597,0.6,0.014491519191970984,0.2379137533798552,0.22342223418788423,0.04211035818005808,2066,0.9210118,0.77497226,2659,342,270,3001,92.63074484944532,1262,All_Beauty,456,ugca_no_conflict,,0.939633309841156
0.8857047650783072,0.8853226345703779,0.9499893404397068,0.03867178502896358,0.08716820180416107,0.9195186160210606,0.6228070175438597,0.5962962962962963,0.027122326296813378,0.25316422552480333,0.22604189922798995,0.05122393472348141,2206,0.9316411,0.7816415,2659,342,270,3001,92.63074484944532,1262,All_Beauty,456,ugca_no_entropy,0.7091253582118766,0.9801124334335327
0.8850383205598134,0.8836424957841484,0.9504437041972019,0.036202804190725815,0.08716990053653717,0.9183903723204212,0.6257309941520468,0.6,0.016782807871340677,0.25184317691284314,0.23506036904150246,0.048561151079136694,2224,0.9353944,0.7876962,2659,342,270,3001,92.39302694136292,1262,All_Beauty,456,ugca_no_js,0.7058868809230044,0.9809331297874451
0.8807064311896035,0.8781484002722941,0.9484525871641127,0.04771826615614796,0.09150906652212143,0.9138773975178639,0.6228070175438597,0.5888888888888889,0.020951352943464886,0.2853636125549238,0.2644122596114589,0.0599058622165169,2337,0.9434032,0.8023015,2659,342,270,3001,90.25356576862124,1262,All_Beauty,456,ugca_no_cal,0.7144883645744674,0.9898869395256042
0.8850383205598134,0.8854961832061069,0.9504552520541861,0.026911637368737685,0.08750789612531662,0.9104926664159458,0.6871345029239766,0.6719367588932806,0.017140587418430848,0.16520290157338333,0.14806231415495247,0.04376784015223597,2102,0.9243085,0.77326083,2659,342,253,3001,92.65536723163842,1239,All_Beauty,789,early_fusion_lc,,
