model,accuracy_mean,accuracy_std,disagreement_acc_mean,disagreement_acc_std,strong_disagreement_acc_mean,strong_disagreement_acc_std,ece_mean,ece_std,calibration_gap_mean,calibration_gap_std,high_conf_error_rate_mean,high_conf_error_rate_std,auroc_mean,auroc_std,conflict_auc_mean,conflict_auc_std
early_fusion_lc,0.8806397867377541,0.005115802806537842,0.6544602910860411,0.0315412182507476,0.6256275165112879,0.03797595813179233,0.03844831368660318,0.020025951119628876,0.18880117277622918,0.035611360003020925,0.05152969447324167,0.013727160554868372,0.9474653342216299,0.0030949207625507826,,
gated_fusion_lc,0.8829723425524826,0.003867388508484904,0.6511922873250839,0.024093074839698553,0.6253843802662467,0.03246479133087862,0.01818492834477058,0.00478524024046906,0.167674055692471,0.04288681313112931,0.03390358254149552,0.002526717453263603,0.9510709749056184,0.0015170591667437302,,
disagree_aware_lc,0.8670443185604798,0.0038931427675933765,0.6779036331115307,0.02527088345716744,0.6602203279629584,0.03233355644174892,0.06003186180529715,0.018067169391760025,0.1703936226434764,0.06008086427084765,0.06587435295230921,0.021773189721891913,0.9368210970464135,0.0030307557315493346,,
ugca_full,0.8826391202932357,0.005602694069471342,0.6575214844556629,0.03536917402224715,0.632527232752558,0.04013526956101486,0.04952078031370418,0.019016352483373248,0.20633407046808183,0.034750574254037055,0.058148855593355676,0.011385055491087962,0.9492182100821674,0.003069444436798605,0.7209968643095076,0.007692224357486325
