accuracy,f1,auroc,ece,brier,agreement_acc,disagreement_acc,strong_disagreement_acc,agreement_ece,disagreement_ece,calibration_gap,high_conf_error_rate,n_high_conf,conf_correct,conf_incorrect,n_agreement,n_disagreement,n_strong_disagreement,n_test,category,seed,split_id,model,features,tier,includes_product_avg_rating,disagreement_labels_in_training,modality_dominance_text_pct,n_true_conflict
0.8727090969676774,0.8721552878179384,0.943477903619809,0.027713471984754594,0.09337323805183823,0.905051272312951,0.6413043478260869,0.596551724137931,0.048116483725113214,0.16813319766065754,0.12001671393554433,0.027080581241743725,1514,0.8721277362654808,0.6986605702591783,2633,368,290,3001,All_Beauty,42,All_Beauty_s42_70-15-15,text_only,sbert_text,main,False,False,,
0.5658113962012662,0.543927196359818,0.5998689762380636,0.049741277006299295,0.245254248380661,0.5750094948727688,0.5,0.47586206896551725,0.045604641986830445,0.13633523903706146,0.09073059705023101,0.17857142857142858,28,0.6259700059890747,0.6019774079322815,2633,368,290,3001,All_Beauty,42,All_Beauty_s42_70-15-15,metadata_lc,metadata_lc,main,False,False,,
0.8763745418193936,0.87571189279732,0.9474981123695314,0.026186276116755662,0.08998909592628479,0.9080896315989365,0.6494565217391305,0.6172413793103448,0.019671067512713348,0.1895788878749084,0.16990782036219504,0.04296875,2048,0.9181596040725708,0.7536320686340332,2633,368,290,3001,All_Beauty,42,All_Beauty_s42_70-15-15,early_fusion_lc,sbert+metadata_lc,main,False,False,92.75471698113208,1325.0
0.8780406531156282,0.8786472148541115,0.9526546746613368,0.06239974150426068,0.0932571217417717,0.9084694265096848,0.6603260869565217,0.6344827586206897,0.040771663481100104,0.23003701633854728,0.18926535285744717,0.0638990638990639,2457,0.957556962966919,0.8172105550765991,2633,368,290,3001,All_Beauty,42,All_Beauty_s42_70-15-15,early_fusion_full,sbert+metadata_full,appendix,True,False,90.18867924528301,1325.0
0.8617127624125291,0.8624461385482267,0.9356744392627138,0.0721389711578462,0.10782921314239502,0.8894796809722749,0.6630434782608695,0.6344827586206897,0.052665381675725445,0.24173979193944,0.18907441026371458,0.07715008431703205,2372,0.950965404510498,0.8272111415863037,2633,368,290,3001,All_Beauty,42,All_Beauty_s42_70-15-15,disagree_aware_lc,sbert+metadata_lc,main,False,True,88.37735849056604,1325.0
0.8693768743752083,0.8697674418604651,0.9422735953808572,0.028533832608187572,0.09439809257153108,0.9003021148036254,0.6373937677053825,0.5968992248062015,0.054228656217717934,0.1823890585099128,0.12816040229219486,0.02798134576948701,1501,0.8708211462272913,0.6910022919508673,2648,353,258,3001,All_Beauty,123,All_Beauty_s123_70-15-15,text_only,sbert_text,main,False,False,,
0.5768077307564146,0.5502832861189801,0.6090348656451254,0.041692332679611255,0.2428252249956131,0.5891238670694864,0.48441926345609065,0.4806201550387597,0.03783912275245361,0.17912514064534865,0.14128601789289505,0.21212121212121213,33,0.6287136077880859,0.6043476462364197,2648,353,258,3001,All_Beauty,123,All_Beauty_s123_70-15-15,metadata_lc,metadata_lc,main,False,False,,
0.8740419860046651,0.871864406779661,0.9422727070841661,0.07046988859005528,0.09945720434188843,0.9033232628398792,0.6543909348441926,0.6124031007751938,0.04616805666275434,0.26112985314416143,0.2149617964814071,0.07422347720855184,2479,0.9594469666481018,0.836125910282135,2648,353,258,3001,All_Beauty,123,All_Beauty_s123_70-15-15,early_fusion_lc,sbert+metadata_lc,main,False,False,88.32288401253919,1276.0
0.8880373208930357,0.8857142857142857,0.9560304241616701,0.03735765799388456,0.08377160876989365,0.9142749244712991,0.6912181303116147,0.6666666666666666,0.02102074426742344,0.22107295843933528,0.20005221417191182,0.046072838964458095,2279,0.9418947100639343,0.7897356152534485,2648,353,258,3001,All_Beauty,123,All_Beauty_s123_70-15-15,early_fusion_full,sbert+metadata_full,appendix,True,False,90.12539184952978,1276.0
0.8677107630789737,0.8669125041904123,0.9382629358205642,0.06143687152288548,0.10247229039669037,0.8942598187311178,0.6685552407932012,0.6434108527131783,0.04667066281318126,0.24347786411706349,0.19680720130388224,0.07011543394613083,2339,0.94599449634552,0.8147636651992798,2648,353,258,3001,All_Beauty,123,All_Beauty_s123_70-15-15,disagree_aware_lc,sbert+metadata_lc,main,False,True,89.0282131661442,1276.0
0.8780406531156282,0.8771812080536913,0.9452673773040196,0.030555928324022423,0.09165436339242702,0.9101165851823994,0.6286549707602339,0.6037037037037037,0.05512065080981274,0.20324238176385062,0.14812173095403788,0.02953020134228188,1490,0.8703292643313493,0.6982014593336664,2659,342,270,3001,All_Beauty,456,All_Beauty_s456_70-15-15,text_only,sbert_text,main,False,False,,
0.5828057314228591,0.5541310541310541,0.6109591383522097,0.03525184582011457,0.2417563647031784,0.5911996991350131,0.5175438596491229,0.5074074074074074,0.04163057222015295,0.18358342590257093,0.14195285368241797,0.13793103448275862,29,0.6265745759010315,0.6030272245407104,2659,342,270,3001,All_Beauty,456,All_Beauty_s456_70-15-15,metadata_lc,metadata_lc,main,False,False,,
0.882705764745085,0.8815612382234186,0.9483833000222075,0.04577177334471328,0.08978454768657684,0.9183903723204212,0.6052631578947368,0.5740740740740741,0.0267910612197176,0.2624237970149482,0.2356327357952306,0.05485961123110151,2315,0.9438822865486145,0.8023725152015686,2659,342,270,3001,All_Beauty,456,All_Beauty_s456_70-15-15,early_fusion_lc,sbert+metadata_lc,main,False,False,90.64976228209191,1262.0
