accuracy,f1,auroc,ece,brier,agreement_acc,disagreement_acc,strong_disagreement_acc,agreement_ece,disagreement_ece,calibration_gap,high_conf_error_rate,n_high_conf,conf_correct,conf_incorrect,n_agreement,n_disagreement,n_strong_disagreement,n_test,accuracy_ci_lo,accuracy_ci_hi,f1_ci_lo,f1_ci_hi,auroc_ci_lo,auroc_ci_hi,category,seed,split_id,model,features,includes_product_avg_rating,disagreement_labels_in_training,modality_dominance_text_pct,n_true_conflict
0.8727090969676774,0.8721552878179384,0.943477903619809,0.027713471984754594,0.09337323805183823,0.905051272312951,0.6413043478260869,0.596551724137931,0.048116483725113214,0.16813319766065754,0.12001671393554433,0.027080581241743725,1514,0.8721277362654808,0.6986605702591783,2633,368,290,3001,0.8603798733755414,0.8833722092635788,0.8596898004766043,0.8834873858687038,0.9355227269759823,0.9503598280048202,All_Beauty,42,All_Beauty_s42_70-15-15,text_only,sbert_text,False,False,,
0.6871042985671443,0.6889698575687314,0.7551374639129469,0.028170321766077297,0.20075879991054535,0.6950246866691986,0.6304347826086957,0.6379310344827587,0.02763296696302603,0.1293163037069304,0.10168333674390437,0.07808564231738035,397,0.7302830815315247,0.6494068503379822,2633,368,290,3001,0.6704431856047984,0.7037654115294901,0.6695824887564469,0.7088995046151555,0.7382029776601511,0.7724747096940885,All_Beauty,42,All_Beauty_s42_70-15-15,metadata_full,metadata_full(8),True,False,,
0.5658113962012662,0.543927196359818,0.5998689762380636,0.049741277006299295,0.245254248380661,0.5750094948727688,0.5,0.47586206896551725,0.045604641986830445,0.13633523903706146,0.09073059705023101,0.17857142857142858,28,0.6259700059890747,0.6019774079322815,2633,368,290,3001,0.5484838387204265,0.5838053982005998,0.5221977670208546,0.5662403515295545,0.5801964061159923,0.6207911917026413,All_Beauty,42,All_Beauty_s42_70-15-15,metadata_lc,metadata_lc(6),False,False,,
0.8780406531156282,0.8786472148541115,0.9526546746613368,0.06239974150426068,0.0932571217417717,0.9084694265096848,0.6603260869565217,0.6344827586206897,0.040771663481100104,0.23003701633854728,0.18926535285744717,0.0638990638990639,2457,0.957556962966919,0.8172105550765991,2633,368,290,3001,0.8653782072642453,0.8890369876707764,0.8654403087238316,0.8905620789766613,0.9457578952431211,0.9592528529670185,All_Beauty,42,All_Beauty_s42_70-15-15,early_fusion_full,sbert+metadata_full,True,False,90.18867924528301,1325.0
0.8763745418193936,0.87571189279732,0.9474981123695314,0.026186276116755662,0.08998909592628479,0.9080896315989365,0.6494565217391305,0.6172413793103448,0.019671067512713348,0.1895788878749084,0.16990782036219504,0.04296875,2048,0.9181596040725708,0.7536320686340332,2633,368,290,3001,0.8643785404865045,0.887379206931023,0.8632486178537456,0.8870387219180585,0.9402308715117031,0.954453084352102,All_Beauty,42,All_Beauty_s42_70-15-15,early_fusion_lc,sbert+metadata_lc,False,False,92.75471698113208,1325.0
0.8777074308563813,0.8763060330299967,0.948923384410393,0.027951559583789608,0.08933994919061661,0.9134067603494114,0.6222826086956522,0.5689655172413793,0.012474950271394381,0.21935568386486368,0.20688073359346928,0.04042348411934552,2078,0.9242317080497742,0.758163571357727,2633,368,290,3001,0.8653782072642453,0.8890369876707764,0.863294147194011,0.8882995902808003,0.9414898299637984,0.9556565626699897,All_Beauty,42,All_Beauty_s42_70-15-15,late_fusion_lc,sbert+metadata_lc,False,False,92.60377358490567,1325.0
0.8773742085971343,0.8787878787878788,0.9496246946480122,0.02490888330533042,0.08915885537862778,0.9111279908849221,0.6358695652173914,0.5896551724137931,0.034636003675170585,0.18840527919161576,0.15376927551644518,0.03481822836661547,1953,0.9143332242965698,0.7447932958602905,2633,368,290,3001,0.8650449850049984,0.8890453182272576,0.8659830622412998,0.8908982438757064,0.9420704392401587,0.9564389701533984,All_Beauty,42,All_Beauty_s42_70-15-15,gated_fusion_lc,sbert+metadata_lc,False,False,93.43396226415095,1325.0
0.8617127624125291,0.8624461385482267,0.9356744392627138,0.0721389711578462,0.10782921314239502,0.8894796809722749,0.6630434782608695,0.6344827586206897,0.052665381675725445,0.24173979193944,0.18907441026371458,0.07715008431703205,2372,0.950965404510498,0.8272111415863037,2633,368,290,3001,0.8493835388203932,0.8733755414861712,0.8497759227239532,0.874499845290947,0.9272629256030479,0.9435240806889476,All_Beauty,42,All_Beauty_s42_70-15-15,disagree_aware_lc,sbert+metadata_lc,False,True,88.37735849056604,1325.0
0.8693768743752083,0.8697674418604651,0.9422735953808572,0.028533832608187572,0.09439809257153108,0.9003021148036254,0.6373937677053825,0.5968992248062015,0.054228656217717934,0.1823890585099128,0.12816040229219486,0.02798134576948701,1501,0.8708211462272913,0.6910022919508673,2648,353,258,3001,0.8577140953015662,0.8817227590803065,0.8575312926802364,0.8826474779139356,0.934392740128075,0.950287393161348,All_Beauty,123,All_Beauty_s123_70-15-15,text_only,sbert_text,False,False,,
0.6797734088637121,0.6808369312520757,0.7485147679324895,0.03258889894193904,0.20351675152778625,0.6850453172205438,0.6402266288951841,0.624031007751938,0.03925402776346602,0.1254382565427603,0.08618422877929428,0.06084656084656084,378,0.7347760200500488,0.6549781560897827,2648,353,258,3001,0.6631122959013662,0.6974341886037987,0.6605437476935503,0.6991660900966852,0.7315220797992217,0.7663775537924861,All_Beauty,123,All_Beauty_s123_70-15-15,metadata_full,metadata_full(8),True,False,,
0.5768077307564146,0.5502832861189801,0.6090348656451254,0.041692332679611255,0.2428252249956131,0.5891238670694864,0.48441926345609065,0.4806201550387597,0.03783912275245361,0.17912514064534865,0.14128601789289505,0.21212121212121213,33,0.6287136077880859,0.6043476462364197,2648,353,258,3001,0.5588053982005998,0.5948017327557481,0.5262383549705494,0.5706291981497126,0.5890282620865275,0.6288962355636356,All_Beauty,123,All_Beauty_s123_70-15-15,metadata_lc,metadata_lc(6),False,False,,
0.8880373208930357,0.8857142857142857,0.9560304241616701,0.03735765799388456,0.08377160876989365,0.9142749244712991,0.6912181303116147,0.6666666666666666,0.02102074426742344,0.22107295843933528,0.20005221417191182,0.046072838964458095,2279,0.9418947100639343,0.7897356152534485,2648,353,258,3001,0.8757080973008997,0.8990336554481839,0.8730490734385724,0.8973960311856004,0.9490010051060945,0.9628032503839862,All_Beauty,123,All_Beauty_s123_70-15-15,early_fusion_full,sbert+metadata_full,True,False,90.12539184952978,1276.0
0.8740419860046651,0.871864406779661,0.9422727070841661,0.07046988859005528,0.09945720434188843,0.9033232628398792,0.6543909348441926,0.6124031007751938,0.04616805666275434,0.26112985314416143,0.2149617964814071,0.07422347720855184,2479,0.9594469666481018,0.836125910282135,2648,353,258,3001,0.8617127624125291,0.8857047650783072,0.8587211852309659,0.8844298435482963,0.9344077103478295,0.9507001520473516,All_Beauty,123,All_Beauty_s123_70-15-15,early_fusion_lc,sbert+metadata_lc,False,False,88.32288401253919,1276.0
0.8800399866711096,0.88,0.9504361536753275,0.015900021873883737,0.08635200560092926,0.908987915407855,0.6628895184135978,0.624031007751938,0.03511041085154179,0.1842685473328272,0.1491581364812854,0.032157676348547715,1928,0.907292366027832,0.7266831398010254,2648,353,258,3001,0.8690436521159614,0.8923692102632456,0.8679357423360409,0.8923200839118497,0.9429100628659273,0.9578285683379449,All_Beauty,123,All_Beauty_s123_70-15-15,late_fusion_lc,sbert+metadata_lc,False,False,94.5141065830721,1276.0
0.8817060979673442,0.879045996592845,0.9516433488785253,0.015430397605129336,0.08511187136173248,0.9104984894259819,0.6657223796033994,0.6356589147286822,0.013973587046284503,0.21082825502829242,0.1968546679820079,0.033182503770739065,1989,0.9159905314445496,0.7367076873779297,2648,353,258,3001,0.8700349883372209,0.8937020993002333,0.8663708740808475,0.8913776083485856,0.9443618453814566,0.9587176260388731,All_Beauty,123,All_Beauty_s123_70-15-15,gated_fusion_lc,sbert+metadata_lc,False,False,91.4576802507837,1276.0
0.8677107630789737,0.8669125041904123,0.9382629358205642,0.06143687152288548,0.10247229039669037,0.8942598187311178,0.6685552407932012,0.6434108527131783,0.04667066281318126,0.24347786411706349,0.19680720130388224,0.07011543394613083,2339,0.94599449634552,0.8147636651992798,2648,353,258,3001,0.8553815394868377,0.8807064311896035,0.8538699333975263,0.8802707542439653,0.9300086713723429,0.9470596829695452,All_Beauty,123,All_Beauty_s123_70-15-15,disagree_aware_lc,sbert+metadata_lc,False,True,89.0282131661442,1276.0
0.8780406531156282,0.8771812080536913,0.9452673773040196,0.030555928324022423,0.09165436339242702,0.9101165851823994,0.6286549707602339,0.6037037037037037,0.05512065080981274,0.20324238176385062,0.14812173095403788,0.02953020134228188,1490,0.8703292643313493,0.6982014593336664,2659,342,270,3001,0.8673692102632455,0.8890369876707764,0.865677950365343,0.889479044222962,0.9379916684677692,0.9523301067655644,All_Beauty,456,All_Beauty_s456_70-15-15,text_only,sbert_text,False,False,,
0.688437187604132,0.688437187604132,0.7631139240506329,0.01770056863102822,0.19701094925403595,0.6949981195938323,0.6374269005847953,0.6259259259259259,0.027252449856839164,0.14199601607233805,0.11474356621549889,0.046753246753246755,385,0.7318804264068604,0.6444747447967529,2659,342,270,3001,0.6711096301232923,0.7037654115294901,0.6675901094703434,0.7063031679629242,0.7463729433911306,0.778717572144285,All_Beauty,456,All_Beauty_s456_70-15-15,metadata_full,metadata_full(8),True,False,,
0.5828057314228591,0.5541310541310541,0.6109591383522097,0.03525184582011457,0.2417563647031784,0.5911996991350131,0.5175438596491229,0.5074074074074074,0.04163057222015295,0.18358342590257093,0.14195285368241797,0.13793103448275862,29,0.6265745759010315,0.6030272245407104,2659,342,270,3001,0.565803065644785,0.6007997334221926,0.530346002736059,0.576226710016256,0.5914822375980708,0.6309350173915123,All_Beauty,456,All_Beauty_s456_70-15-15,metadata_lc,metadata_lc(6),False,False,,
0.8923692102632456,0.8901734104046243,0.9558680879413723,0.02085141365139217,0.08147899061441422,0.9277924031590824,0.6169590643274854,0.5962962962962963,0.017318367996596667,0.2501030093745181,0.23278464137792146,0.03757632691404415,2129,0.924392819404602,0.765347421169281,2659,342,270,3001,0.8810396534488504,0.903032322559147,0.8779115261161365,0.9012253737170182,0.9489739886341487,0.9620214955438391,All_Beauty,456,All_Beauty_s456_70-15-15,early_fusion_full,sbert+metadata_full,True,False,89.93660855784469,1262.0
0.882705764745085,0.8815612382234186,0.9483833000222075,0.04577177334471328,0.08978454768657684,0.9183903723204212,0.6052631578947368,0.5740740740740741,0.0267910612197176,0.2624237970149482,0.2356327357952306,0.05485961123110151,2315,0.9438822865486145,0.8023725152015686,2659,342,270,3001,0.8720426524491836,0.8940353215594802,0.8692922720555991,0.8932188432604434,0.9411902700790954,0.9554854011600613,All_Beauty,456,All_Beauty_s456_70-15-15,early_fusion_lc,sbert+metadata_lc,False,False,90.64976228209191,1262.0
