model,accuracy_mean,accuracy_std,disagreement_acc_mean,disagreement_acc_std,strong_disagreement_acc_mean,strong_disagreement_acc_std,ece_mean,ece_std,calibration_gap_mean,calibration_gap_std,high_conf_error_rate_mean,high_conf_error_rate_std,auroc_mean,auroc_std,conflict_auc_mean,conflict_auc_std
ugca_full,0.8826391202932357,0.005602694069471342,0.6575214844556629,0.03536917402224715,0.632527232752558,0.04013526956101486,0.04952078031370418,0.019016352483373248,0.20633407046808183,0.034750574254037055,0.058148855593355676,0.011385055491087962,0.9492182100821674,0.003069444436798605,0.7209968643095076,0.007692224357486325
ugca_no_conflict,0.8805064978340553,0.0076590395105809875,0.646344144893186,0.032806109589006455,0.6186519029630972,0.03874770141028522,0.039200494718582425,0.015438592585470768,0.20367931364886896,0.02701301222629697,0.04708075843995504,0.00985474634274767,0.9493003331112592,0.0021958212880668826,,
ugca_no_entropy,0.8830389870043319,0.0037773355710611677,0.6574454001646843,0.03237316260577872,0.6306985101704418,0.041075916312335044,0.03960288645242184,0.013161032404326513,0.1883240744659912,0.03656613333641938,0.049912138223724346,0.009177200071012756,0.949968776371308,0.001706171311881103,0.7170855677018158,0.007190443947565022
ugca_no_js,0.8825058313895369,0.006451100321402238,0.6577380640754786,0.034971966118071095,0.6374073716144493,0.04779881104448019,0.050684669013273245,0.014224241653557351,0.2083993560500892,0.028352215415902802,0.056829959985286546,0.008850365045562065,0.9495546968687542,0.0037760795816565375,0.7255875598543506,0.012648212313567086
ugca_no_cal,0.8815061646117961,0.0034355845168361925,0.6578775565919674,0.04331912967176684,0.6297722510552859,0.049582490955343374,0.048172348188295314,0.021696665994143934,0.22089178816961885,0.0456368515908005,0.05676588109746208,0.01899644311967397,0.9487912058627581,0.0038650702548231873,0.7180650095890836,0.00545368311564733
early_fusion_lc,0.8806397867377541,0.005115802806537842,0.6544602910860411,0.0315412182507476,0.6256275165112879,0.03797595813179233,0.03844831368660318,0.020025951119628876,0.18880117277622918,0.035611360003020925,0.05152969447324167,0.013727160554868372,0.9474653342216299,0.0030949207625507826,,
gated_fusion_lc,0.8829723425524826,0.003867388508484904,0.6511922873250839,0.024093074839698553,0.6253843802662467,0.03246479133087862,0.01818492834477058,0.00478524024046906,0.167674055692471,0.04288681313112931,0.03390358254149552,0.002526717453263603,0.9510709749056184,0.0015170591667437302,,
disagree_aware_lc,0.8670443185604798,0.0038931427675933765,0.6779036331115307,0.02527088345716744,0.6602203279629584,0.03233355644174892,0.06003186180529715,0.018067169391760025,0.1703936226434764,0.06008086427084765,0.06587435295230921,0.021773189721891913,0.9368210970464135,0.0030307557315493346,,
