category,model,accuracy_mean,accuracy_std,agreement_acc_mean,agreement_acc_std,disagreement_acc_mean,disagreement_acc_std,strong_disagreement_acc_mean,strong_disagreement_acc_std,auroc_mean,auroc_std,ece_mean,ece_std,agreement_ece_mean,agreement_ece_std,disagreement_ece_mean,disagreement_ece_std,calibration_gap_mean,calibration_gap_std,high_conf_error_rate_mean,high_conf_error_rate_std,modality_dominance_text_pct_mean,modality_dominance_text_pct_std
All_Beauty,disagree_aware_lc,0.864822836832167,0.0030051647802884704,0.8921854493808853,0.002451821328435095,0.6602405086905382,0.010014856435340395,0.6370756482224005,0.0055164668564020875,0.935526982011992,0.002812582996134386,0.0668081771509953,0.005351164830459757,0.048250078860092104,0.0038750295333064653,0.2515685666986837,0.015543036217256952,0.20331848783859163,0.018385806177833412,0.07489222859195108,0.0041388846837060456,88.98199456702808,0.5829026603426418
All_Beauty,early_fusion_full,0.8861490614239699,0.0073485393344543065,0.9168455847133554,0.009914664755217795,0.656167760531874,0.03730376628705556,0.6324819071945509,0.035227827229874456,0.954851062254793,0.0019038584788848077,0.040202937716512475,0.02091978965877431,0.026370258581706735,0.012608617879049978,0.23373766138413354,0.014864623932003603,0.20736740280242683,0.022663100115762693,0.04918274325918872,0.013434107679240163,90.08355988421916,0.13113863983478574
All_Beauty,early_fusion_lc,0.8777074308563813,0.004483047000024564,0.909934422253079,0.007701096444199896,0.63637020482602,0.027052234376510245,0.6012395180532043,0.023650015744886288,0.946051373158635,0.0033022155096040086,0.047475979350508075,0.022190940088333,0.030876728465061763,0.013712844932183334,0.23771084601133938,0.041688519021674815,0.20683411754627756,0.0336078190429598,0.05735061281321779,0.01577556052512325,90.57578775858774,2.2168423574924
All_Beauty,metadata_lc,0.5751416194601799,0.008618805169195384,0.5851110203590895,0.008809533617289658,0.5006543743684045,0.016571990604582754,0.4879632104705614,0.017006394140417696,0.6066209934117995,0.005926044911965059,0.042228485168675035,0.007259579784219098,0.04169144565314567,0.0038831174880503408,0.1663479351949937,0.026087171653131742,0.124656489541848,0.02938257652941813,0.1762078917251331,0.03715151873509572,,
All_Beauty,text_only,0.8733755414861712,0.004370168959881419,0.9051566574329919,0.004908083813628527,0.6357843620972344,0.006476443842664412,0.5990515508826121,0.004032627379476739,0.9436729587682287,0.0015063921913157994,0.028934410972321533,0.001462954811168187,0.05248859691754796,0.0038125377261973513,0.184588212644807,0.017657602081815733,0.13209961572725903,0.014460672434838411,0.028197376117837538,0.0012390163408109178,,
Appliances,disagree_aware_lc,0.855635757912271,0.010177847184799192,0.8800103949910826,0.015095418518378869,0.731709053258267,0.03230034852288096,0.7201872163651895,0.04591491596186336,0.932304024335101,0.0025464688828564135,0.08445778080971895,0.012119790809938764,0.07760496673840002,0.008515585575896663,0.20277461340468358,0.019973249307448905,0.12516964666628352,0.02441003368496142,0.08031191934148359,0.011660530057484651,85.83334804682833,1.546807987376011
Appliances,early_fusion_full,0.8769202295021284,0.0008481539320665993,0.9120195633367411,0.005015780131778593,0.6956297590543369,0.02923889066043366,0.682558493810466,0.030988410472631813,0.9489168413696715,0.003504580386676798,0.04005805142437575,0.007852025482203083,0.033012588967534874,0.012594343714688936,0.23178503182169263,0.031796828059709764,0.19877244285415777,0.04439089250701627,0.04542629491118291,0.010145887150168429,87.66569847604869,0.31757873289152194
Appliances,early_fusion_lc,0.8706274292059967,0.001110494169905607,0.9108984847674706,0.006402713832006719,0.6621720341968836,0.03536711916982606,0.6431765568438245,0.027814935241664254,0.9417141447774077,0.0031705291750732624,0.06499496602830612,0.011719676365717828,0.0373685157008099,0.019912782441924834,0.268753994019008,0.03055320502668823,0.2313854783181981,0.05044587329924117,0.06953642509050677,0.0063665018159547275,86.28130360030268,3.1478534238669456
Appliances,metadata_lc,0.6476031834166204,0.01426815759556396,0.6787518583762856,0.01735087225998672,0.4876420975430877,0.011319021870433465,0.4835689363016386,0.008883886768380181,0.7006955234924158,0.011150858871069702,0.05149507550851915,0.009724729649350445,0.06675278720822221,0.006619985187081035,0.33010848939317916,0.0010984532329058059,0.2633557021849569,0.006640284336576622,0.13486759847856702,0.021082939658975914,,
Appliances,text_only,0.8606329816768462,0.007511243341737185,0.9027080050537828,0.00470045565388976,0.643890075282038,0.013258549521847745,0.6150145243282498,0.019456595110387113,0.9342337731738398,0.004470631274429827,0.03817465419224723,0.0063172065970310675,0.07485981381866143,0.004803374188609761,0.251832752845723,0.010709884359912993,0.17697293902706154,0.015450269093738535,0.02529670208374406,0.009822364802882818,,
