model,accuracy_mean,accuracy_std,f1_mean,f1_std,auroc_mean,auroc_std,ece_mean,ece_std,brier_mean,brier_std,agreement_acc_mean,agreement_acc_std,disagreement_acc_mean,disagreement_acc_std,strong_disagreement_acc_mean,strong_disagreement_acc_std,agreement_ece_mean,agreement_ece_std,disagreement_ece_mean,disagreement_ece_std,calibration_gap_mean,calibration_gap_std,high_conf_error_rate_mean,high_conf_error_rate_std,conf_correct_mean,conf_correct_std,conf_incorrect_mean,conf_incorrect_std,modality_dominance_text_pct_mean,modality_dominance_text_pct_std
disagree_aware_lc,0.8670443185604798,0.0038931427675933765,0.8675258530900436,0.004273483314406612,0.9368210970464135,0.0030307557315493346,0.06003186180529715,0.018067169391760025,0.10336915552616119,0.004298398246947492,0.8921804089937753,0.0021392020620262676,0.6779036331115307,0.02527088345716744,0.6602203279629584,0.03233355644174892,0.04881500398372497,0.003527260436881083,0.21920862662720136,0.06043947394073543,0.1703936226434764,0.06008086427084765,0.06587435295230921,0.021773189721891913,0.9319486021995544,0.03833850021013651,0.8023966789245606,0.054319039466190606,89.56649627323199,0.9551501301740483
early_fusion_full,0.8886371209596801,0.006645257282657717,0.8880114502348457,0.006428072923602004,0.9552061736620031,0.0017188168951382163,0.04052511560266683,0.019589643257180427,0.08515441417694092,0.005668819765980116,0.9165514956582322,0.0072691034710746835,0.6783839608245193,0.040399201355732516,0.6584171851319128,0.043408606879128314,0.028702502923339052,0.012647555838797507,0.21648528340195786,0.039908907992799496,0.1877827804786188,0.03821949150200139,0.04949229693530534,0.012967153751674855,0.9420791745185852,0.016971811473168213,0.7944034099578857,0.031045064783143318,90.13477339194915,0.9362644917950976
early_fusion_lc,0.8806397867377541,0.005115802806537842,0.8797022406671378,0.005740487809529849,0.9474653342216299,0.0030949207625507826,0.03844831368660318,0.020025951119628876,0.09090445339679717,0.004912189564420052,0.9106744549645907,0.005613796060673037,0.6544602910860411,0.0315412182507476,0.6256275165112879,0.03797595813179233,0.026082030061683126,0.011775222865329053,0.21488320283791232,0.044330689928252245,0.18880117277622918,0.035611360003020925,0.05152969447324167,0.013727160554868372,0.9326637268066407,0.018389337374696148,0.7866741776466369,0.03283709457371391,91.26312757112888,1.8461462802134472
gated_fusion_lc,0.8829723425524826,0.003867388508484904,0.8821794691722846,0.0034073867415707134,0.9510709749056184,0.0015170591667437302,0.01818492834477058,0.00478524024046906,0.08575310707092285,0.002082750964717617,0.9137694605066139,0.004771542535477764,0.6511922873250839,0.024093074839698553,0.6253843802662467,0.03246479133087862,0.024475567634873067,0.007630734548452906,0.19214962332734412,0.03936508722274101,0.167674055692471,0.04288681313112931,0.03390358254149552,0.002526717453263603,0.9124764323234558,0.00271495548995318,0.7392038464546203,0.008992658448374906,93.39739036523622,1.266279664380665
late_fusion_lc,0.8835054981672776,0.005001665001295173,0.8821954509071354,0.005290952956309743,0.9516137241838774,0.0019562197467389414,0.020948286242696165,0.005999702721300948,0.08510836660861969,0.002871396550733116,0.9146011544457565,0.00431406092714116,0.649577049587899,0.03754022424333652,0.6220248649459625,0.05406529207720887,0.02047882208462431,0.008926013270568793,0.20174407660051452,0.03542209791298633,0.1812652545158902,0.040990285550610975,0.0368527550320895,0.004501185291414611,0.9151809573173523,0.008980008833980821,0.7405126214027404,0.014413798971764188,93.28791126623904,1.4980149666581606
metadata_full,0.6860379873375542,0.004250380212307453,0.6856826148676026,0.005234410861115764,0.7583426160337553,0.007120755063761831,0.027487549779117992,0.008302576301361726,0.199380823969841,0.0029960533734382524,0.6936920928663989,0.005118768775941289,0.628475417133162,0.01363663018312501,0.618628248188792,0.018423494490965166,0.028562526144754873,0.00711344736031538,0.12774524588425554,0.009880528647398282,0.09918271973950064,0.010436065872856205,0.061966200446434305,0.011275821373057184,0.735026752948761,0.004053337026400542,0.6501600265502929,0.0039194560248323185,,
metadata_lc,0.5781406197934021,0.007394982013053074,0.5510784172902696,0.0052660344694487726,0.6104307350655119,0.007302613933327783,0.040290320706601865,0.005834791413037689,0.2424321562051773,0.0018629447331487907,0.5875245751172999,0.007168871065972574,0.5077346887014315,0.02205108954677114,0.48529047078378057,0.01726719620986841,0.03939304317875061,0.00542941570271434,0.15201726329022114,0.029471457278779065,0.11262422011147052,0.027845159970135692,0.20090330646365126,0.04492063208245714,0.628493583202362,0.0022369482194872664,0.6039226889610291,0.0015204920835079816,,
text_only,0.8756414528490503,0.00453476196899809,0.875208884398476,0.004217393004988988,0.9444423273373307,0.001902115909858381,0.030852435835809884,0.003544740581914503,0.09246146973194833,0.001467575538759478,0.9053186386110497,0.003485634025807885,0.6524400596436466,0.024918671039905985,0.6192689032260044,0.030718129027350268,0.051815811712083173,0.003062289119414306,0.17214951905150538,0.029423158280287798,0.12033370733942221,0.028829246446360993,0.027306611640605945,0.0019379485660421484,0.8691561078869368,0.002924253676817994,0.6949870961291611,0.004088154127084698,,
