accuracy,f1,auroc,ece,brier,agreement_acc,disagreement_acc,strong_disagreement_acc,agreement_ece,disagreement_ece,calibration_gap,high_conf_error_rate,n_high_conf,conf_correct,conf_incorrect,n_agreement,n_disagreement,n_strong_disagreement,n_test,model,category,seed,split_id,modality_dominance_text_pct,n_true_conflict,conflict_auc
0.8727090969676774,0.8721552878179384,0.943477903619809,0.027713471984754594,0.09337323805183823,0.905051272312951,0.6413043478260869,0.596551724137931,0.048116483725113214,0.16813319766065754,0.12001671393554433,0.027080581241743725,1514,0.8721277362654808,0.6986605702591783,2633,368,290,3001,text_only,All_Beauty,42,All_Beauty_s42_70-15-15,,,
0.8763745418193936,0.87571189279732,0.9474981123695314,0.026186276116755662,0.08998909592628479,0.9080896315989365,0.6494565217391305,0.6172413793103448,0.019671067512713348,0.1895788878749084,0.16990782036219504,0.04296875,2048,0.9181596040725708,0.7536320686340332,2633,368,290,3001,early_fusion_lc,All_Beauty,42,All_Beauty_s42_70-15-15,92.75471698113208,1325.0,
0.8773742085971343,0.8787878787878788,0.9496246946480122,0.02490888330533042,0.08915885537862778,0.9111279908849221,0.6358695652173914,0.5896551724137931,0.034636003675170585,0.18840527919161576,0.15376927551644518,0.03481822836661547,1953,0.9143332242965698,0.7447932958602905,2633,368,290,3001,gated_fusion_lc,All_Beauty,42,All_Beauty_s42_70-15-15,93.43396226415095,1325.0,
0.8617127624125291,0.8624461385482267,0.9356744392627138,0.0721389711578462,0.10782921314239502,0.8894796809722749,0.6630434782608695,0.6344827586206897,0.052665381675725445,0.24173979193944,0.18907441026371458,0.07715008431703205,2372,0.950965404510498,0.8272111415863037,2633,368,290,3001,disagree_aware_lc,All_Beauty,42,All_Beauty_s42_70-15-15,88.37735849056604,1325.0,
0.8750416527824059,0.8735244519392917,0.9460337552742616,0.019305580439308568,0.09115274250507355,0.908849221420433,0.6331521739130435,0.5862068965517241,0.017096485116331904,0.18261072918286791,0.165514244066536,0.03912363067292645,1917,0.9084390997886658,0.7413044571876526,2633,368,290,3001,ugca_fusion,All_Beauty,42,All_Beauty_s42_70-15-15,96.52509652509653,1295.0,0.7233658498323949
0.8693768743752083,0.8697674418604651,0.9422735953808572,0.028533832608187572,0.09439809257153108,0.9003021148036254,0.6373937677053825,0.5968992248062015,0.054228656217717934,0.1823890585099128,0.12816040229219486,0.02798134576948701,1501,0.8708211462272913,0.6910022919508673,2648,353,258,3001,text_only,All_Beauty,123,All_Beauty_s123_70-15-15,,,
0.8740419860046651,0.871864406779661,0.9422727070841661,0.07046988859005528,0.09945720434188843,0.9033232628398792,0.6543909348441926,0.6124031007751938,0.04616805666275434,0.26112985314416143,0.2149617964814071,0.07422347720855184,2479,0.9594469666481018,0.836125910282135,2648,353,258,3001,early_fusion_lc,All_Beauty,123,All_Beauty_s123_70-15-15,88.32288401253919,1276.0,
0.8817060979673442,0.879045996592845,0.9516433488785253,0.015430397605129336,0.08511187136173248,0.9104984894259819,0.6657223796033994,0.6356589147286822,0.013973587046284503,0.21082825502829242,0.1968546679820079,0.033182503770739065,1989,0.9159905314445496,0.7367076873779297,2648,353,258,3001,gated_fusion_lc,All_Beauty,123,All_Beauty_s123_70-15-15,91.4576802507837,1276.0,
0.8677107630789737,0.8669125041904123,0.9382629358205642,0.06143687152288548,0.10247229039669037,0.8942598187311178,0.6685552407932012,0.6434108527131783,0.04667066281318126,0.24347786411706349,0.19680720130388224,0.07011543394613083,2339,0.94599449634552,0.8147636651992798,2648,353,258,3001,disagree_aware_lc,All_Beauty,123,All_Beauty_s123_70-15-15,89.0282131661442,1276.0,
0.8843718760413196,0.8851373717312149,0.9467239618032423,0.06860379228304472,0.09514026343822479,0.908987915407855,0.6997167138810199,0.6782945736434108,0.052150667608459544,0.22102389436099076,0.16887322675253122,0.07353519465198584,2543,0.9639028906822205,0.8548945188522339,2648,353,258,3001,ugca_fusion,All_Beauty,123,All_Beauty_s123_70-15-15,95.12006196746708,1291.0,0.7416533296817096
